input,output,reaction,name,schemaClass,module
VAV1,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-HSA-983687,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
NCK1,R-HSA-9606167,R-HSA-9606151,"Phosphorylated BLNK (SLP65, in Antigen:p-BCR:p-SYK:p-BLNK:CIN85:GRB2:SOS1) binds BTK, PLCG2, VAV1, NCK1",Reaction,Immune System
R-ALL-113592,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983690,R-ALL-29370,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983690,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983692,R-ALL-29370,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-HSA-983692,R-HSA-983687,R-HSA-983703,p-6Y-SYK phosphorylates BLNK (SLP65),Reaction,Immune System
R-ALL-113592,R-HSA-983690,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-983693,R-ALL-29370,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-983693,R-HSA-983690,R-HSA-983707,SYK autophosphorylates at the activated BCR,Reaction,Immune System
R-HSA-5690677,R-ALL-29370,R-HSA-5690723,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
R-HSA-5690677,R-HSA-983690,R-HSA-5690723,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
SYK,R-HSA-983693,R-HSA-983700,SYK binds the activated BCR,Reaction,Immune System
R-HSA-983691,R-HSA-983693,R-HSA-983700,SYK binds the activated BCR,Reaction,Immune System
R-ALL-113592,R-HSA-983691,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-983689,R-ALL-29370,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-983689,R-HSA-983691,R-HSA-983709,"LYN, FYN, BLK phosphorylate ITAMs of Ig-alpha (CD79A) and Ig-beta (CD79B)",Reaction,Immune System
R-HSA-5690677,R-HSA-983691,R-HSA-5690718,"Negative regulation by 'PTPN6:p-Y762,807,822-CD22:Antigen:p-BCR [plasma membrane]'",NegativeRegulation,Immune System
R-ALL-983667,R-HSA-983689,R-HSA-983696,The Immunoglobulin of the BCR binds antigen,Reaction,Immune System
R-HSA-983677,R-HSA-983689,R-HSA-983696,The Immunoglobulin of the BCR binds antigen,Reaction,Immune System
TRPC1,R-HSA-2089954,R-HSA-2089927,STIM1 binds TRPC1 forming STIM1:TRPC1 complex,Reaction,Immune System
